fecha,session_id,timestamp_guardado,noticia_1,noticia_2,noticia_3,tono_mercado,impacto_volatilidad,spy_calls_nivel,spy_puts_nivel,spy_premarket,spy_zona_ruido,qqq_calls_nivel,qqq_puts_nivel,qqq_momentum,slv_calls_nivel,slv_objetivo,slv_stop,slv_puts_nivel,slv_nota,capital_total,max_riesgo_trade,max_monto_trade,regla_oro,emociones,comentario_emocional,activo,tipo_trade,direccion,contexto_intradia,entrada,stop,target,invalidacion,regla_tiempo,timeframe,estado_emocional,checklist_ok,checklist_intradia_ok,checklist_diario_ok,checklist_sesion_ok,macro_mode,macro_rule,macro_es,macro_vix,macro_dxy,macro_high_impact_news,macro_es_src,macro_vix_src,macro_dxy_src,fondo_inversion,limite_riesgo_diario,limite_riesgo_trade,contratos,prima_entrada,prima_stop,costo_entrada_usd,riesgo_usd,acepto_perder_financiero,position_size,setup_clasificacion
2025-12-05,,2025-12-05T13:00:47.494574,Reprote PCE price index,,,Neutro / indeciso,Alta,685.50 / 684,681.50 / 680.20,alcista,682 -684,,,,52.80 / 53.10,54.0,51.9,52.2,,2000.0,29.0,119.0,"Solo operar si se cumple el plan, NO sobreoperar, Tomar ganancias en 20–30%, Cortar pérdida sin dudar","Enfocado, Impaciente","Dormi bien, pero las cosas no se estan dando tan rapido como espero",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-14 16:58,,,,,,,,,,,,,,,,,,,,,,,,,,SLV,Intraday (solo sesión actual),Call / Long,"Trade válido solo durante la sesión actual, basado en estructura del día
(VWAP + High/Low del día).",56.3,56.06,57.0,"SLV cierra una vela de 5m debajo de VWAP con volumen, o

pierde 56.05 y no lo recupera en 2 velas de 5m",Si el impulso no aparece en 3–4 velas → salgo,5m,🟢 Calmo y enfocado,True,True,,,,,,,,,,,,,,,,,,,,,,
2025-12-14 19:40,,,,,,,,,,,,,,,,,,,,,,,,,,SPY,Swing,Call / Long,"Trade swing basado en estructura mayor, no en movimiento intradía.
Se ignoran mechas y ruido intradía.",56.3,55.7,57.0,SLV CIERRA el día por debajo de 55.70,,1D,🟢 Calmo y enfocado,True,True,,,,,,,,,,,,,,,,,,,,,,
2025-12-14 19:42,,,,,,,,,,,,,,,,,,,,,,,,,,SPY,Swing,Call / Long,"Trade swing basado en estructura mayor, no en movimiento intradía.
Se ignoran mechas y ruido intradía.",56.3,55.7,57.0,SLV CIERRA el día por debajo de 55.70,,1h,🟢 Calmo y enfocado,True,True,,,,,,,,,,,,,,,,,,,,,,
2025-12-16 09:25,,,,,,,,,,,,,,,,,,,,,,,,,,SLV,Intraday (solo sesión actual),Call / Long,"Activo fuerte el día previo.
Pullback técnico durante premarket / apertura hacia VWAP sin ruptura estructural.
Sesgo defensivo del mercado favorece metales.",57.75,57.5,58.5,"Se producen 2 cierres consecutivos 5m debajo de 57.50

O pierde VWAP sin recuperación (2 cierres bajo VWAP)",Si en 30–45 min no avanza hacia el target → cierro,5m,🟢 Calmo y enfocado,True,True,True,True,,,,,,,,,,,,,,,,,,,,
2025-12-17 09:31,,,,,,,,,,,,,,,,,,,,,,,,,,SLV,Intraday (solo sesión actual),Call / Long,"Trade válido solo hoy, basado en continuación fuerte + pullback a VWAP tras gap alcista con volumen.
SLV abre con gap alcista (+3%+) y volumen alto.
Busco pullback ordenado hacia VWAP, con mechas abajo y cierres arriba, para continuación del movimiento.
Equities débiles → flujo defensivo favorece metales.",58.9,56.9,61.0,"2 cierres consecutivos 5m debajo de VWAP

2 cierres 5m debajo de 56.90

Rechazo fuerte en VWAP con volumen vendedor",Si en 30–45 min no avanza hacia el target → cierro,5m,🟢 Calmo y enfocado,True,True,True,True,,,,,,,,,,,,,,,,,,,,
2025-12-18 10:40,,,,,,,,,,,,,,,,,,,,,,,,,,SLV,Intraday (solo sesión actual),Put / Short,"SLV viene de expansión fuerte el día previo, pero hoy muestra ruptura de estructura intradía tras rechazo en máximos y pérdida de VWAP.
Precio pierde VWAP y MA20 con volumen.
Rebote posterior es débil (lower high).
El movimiento actual es corrección intradía, no cambio de tendencia mayor.
Busco continuación bajista hacia soportes del día, sin intención swing.",59.8,60.2,58.5,"Recupera VWAP y la mantiene (2 cierres arriba)

Rompe 60.20 con volumen

Higher low + volumen comprador",Si en 30–45 min no avanza hacia el target → cierro,5m,🟢 Calmo y enfocado,True,True,True,True,,,,,,,,,,,,,,,,,,,,
2025-12-18 10:53,,,,,,,,,,,,,,,,,,,,,,,,,,SPY,Swing,Call / Long,"SPY intenta cambiar de fase tras estructura bajista previa.
El movimiento actual es reclaim técnico, no aún tendencia alcista mayor.
Busco continuación mientras sostenga VWAP.",679.5,677.8,688.0,"Cierre horario debajo de VWAP
Rechazo fuerte en 680
Vela roja envolvente con volumen",,1h,🟢 Calmo y enfocado,True,True,True,True,,,,,,,,,,,,,,,,,,,,
2025-12-19 10:31,,,,,,,,,,,,,,,,,,,,,,,,,,SPY,Swing,Call / Long,"Rebote desde zona baja (~670).

Precio intenta sostenerse sobre VWAP diario / MA20 1H.

Aún debajo de resistencias mayores (MA50–MA100).

Condiciones (OBLIGATORIAS)

Cierre 1H o diario sobre 678–679

Higher low confirmado en 1H

VWAP diario actuando como soporte",679.0,673.0,692.0,"Rechazo fuerte en 680 y cierre diario rojo

Recupera VWAP intradía pero no lo sostiene al cierre",,1h,🟢 Calmo y enfocado,True,True,True,True,,,,,,,,,,,,,,,,,,,,
2026-01-04 15:25,,,,,,,,,,,,,,,,,,,,,,,,,,SPY,Intraday (solo sesión actual),Call / Long,"SPY está en rebote técnico dentro de una estructura aún frágil, con rotación de capital y sin confirmación de tendencia.",684.0,683.0,686.0,Stop técnico: Cierre 5m < 683,Si el impulso no aparece en 3–4 velas → salgo,5m,🟢 Calmo y enfocado,True,True,True,True,🟢 Risk-On,Fluir con la tendencia. CALLs permitidos con gestión normal.,⬆️ (+0.12%),⬇️ (-2.94%),⬆️ (+0.16%),no,ES=F,^VIX,DX-Y.NYB,,,,,,,,,,,
2026-01-05 09:17,,,,,,,,,,,,,,,,,,,,,,,,,,SPY,Intraday (solo sesión actual),Call / Long,"SPY está en rebote técnico dentro de una estructura aún frágil, con rotación de capital y sin confirmación de tendencia.
Pullback a VWAP con Higher Low en 5m. Entrada solo tras vela verde de confirmación. Stop técnico cierre 5m < 683. Target 686–687. No FOMO.",684.0,683.0,687.0,Stop técnico: Cierre 5m < 683,Si el impulso no aparece en 3–4 velas → salgo,5m,🟢 Calmo y enfocado,True,True,True,True,🟢 Risk-On,Sesgo favorable. CALLs permitidos con gestión normal.,⬆️ (+0.39%),⬆️ (+3.79%),⬆️ (+0.27%),no,ES=F,^VIX,DX-Y.NYB,,,,,,,,,,,
2026-01-06 09:24,,,,,,,,,,,,,,,,,,,,,,,,,,SLV,Intraday (solo sesión actual),Call / Long,"Liderazgo claro en premarket

Flujo defensivo / rotación a metales

Momentum confirmado antes del open",69.9,69.5,72.0,"Cierre 5m por debajo de VWAP, o

Pérdida de 69.5 y no recuperación en 2 velas",Si el impulso no aparece en 3–4 velas → salgo,5m,🟢 Calmo y enfocado,True,True,True,True,🟢 Risk-On,Sesgo favorable. CALLs permitidos con gestión normal.,⏸️ (-0.01%),⬆️ (+0.87%),⬆️ (+0.10%),no,ES=F,^VIX,DX-Y.NYB,,,,,,,,,,,
2026-01-07 08:54,,,,,,,,,,,,,,,,,,,,,,,,,,SPY,Intraday (solo sesión actual),Call / Long,tendencia alcista + consolidación alta (no debilidad).,690.5,688.5,694.0,"Cierre diario < 688.50
Dos cierres consecutivos de 15m por debajo de EMA 50
Pérdida de VWAP y no recuperación en 2 velas",Si el impulso no aparece en 3–4 velas → salgo,5m,🟢 Calmo y enfocado,True,True,True,True,🟢 Risk-On,Sesgo favorable. CALLs permitidos con gestión normal.,⏸️ (+0.03%),⬆️ (+1.76%),⏸️ (-0.05%),no,ES=F,^VIX,DX-Y.NYB,,,,,,,,,,,
2026-01-07 09:01,,,,,,,,,,,,,,,,,,,,,,,,,,SLV,Swing,Call / Long,"Activo líder del mercado
Momentum fuerte
Rotación clara hacia metales
Sesgo: Alcista fuerte (A+)
Mejor estructura que SPY
SLV mantiene liderazgo y estructura alcista. Swing activo mientras respete 72.90–71.80. No FOMO.",72.9,71.8,74.0,"Cierre diario < 71.80
O pérdida de 72.90 + no recuperación en 2 velas
Ruptura clara de la estructura de higher lows",,1D,🟢 Calmo y enfocado,True,True,True,True,🟢 Risk-On,Sesgo favorable. CALLs permitidos con gestión normal.,⏸️ (+0.02%),⬆️ (+1.49%),⏸️ (-0.05%),no,ES=F,^VIX,DX-Y.NYB,,,,,,,,,,,
2026-01-08 09:13,,,,,,,,,,,,,,,,,,,,,,,,,,SPY,Intraday (solo sesión actual),Call / Long,Neutral / Pullback técnico,689.6,687.9,691.0,Bullish invalidado: pérdida clara y aceptación < 686.80,Si en 30–45 min no avanza hacia el target → cierro,5m,🟢 Calmo y enfocado,True,True,True,True,🟢 Risk-On,Sesgo favorable. CALLs permitidos con gestión normal.,⏸️ (-0.09%),⬆️ (+2.15%),⬆️ (+0.19%),no,ES=F,^VIX,DX-Y.NYB,,,,,,,,,,,
